Name,SKU,Category,Colors,MOQ_Amber,MOQ_Clear,MOQ_Opaque_White,MOQ_Opaque_Black,Neck_Size,Neck_Profile,Volume,OFC,Weight,Height,Diameter,Pilfer,Length,Cap_Type,Usage,Market_Segments,Image_Amber,Image_Clear,Image_Family,Image_Opaque_Black,
19mm / 100ml Aster,ASB001,Bottles,"Clear, Family, Amber",3360,672,,,19mm,SP410,100ml,59ml,13gm,109mm,38mm X 25mm,,,,,,19mm - 50ml Round.jpg,19mm - 100ml Square Clear.jpg,25mm - 200ml Brute Clear.jpg,,
19mm / 100ml Flat,ASB003,Bottles,,,,,,19mm,,100ml,110ml,13gm,126mm,30mm X 46mm,,,,,,,,,,
19mm / 100ml Jasmine,ASB004,Bottles,,,,,,19mm,,100ml,110ml,13gm,121mm,44mm X 36mm,,,,,,,,,,
19mm / 100ml KK,ASB005,Bottles,,,,,,19mm,,100ml,106ml,13gm,116mm,57mm X 30mm,,,,,,,,,,
19mm / 100ml Lotion,ASB006,Bottles,,,,,,19mm,,100ml,106ml,13gm,125mm,39mm,,,,,,,,,,
19mm / 100ml Orchid,ASB007,Bottles,,,,,,19mm,,100ml,106ml,13gm,125mm,50mm X 32mm,,,,,,,,,,
19mm / 100ml Round,ASB008,Bottles,,,,,,19mm,,100ml,107ml,13gm,119mm,40mm X 14mm,,,,,,,,,,
19mm / 100ml Square,ASB009,Bottles,,,,,,19mm,,100ml,112ml,13gm,116mm,36mm X 36mm,,,,,,,,,,
19mm / 100ml Tulip,ASB010,Bottles,,,,,,19mm,,100ml,106ml,13gm,114mm,39mm,,,,,,,,,,
19mm / 20ml Food Colour,ASB011,Bottles,,,,,,19mm,,20ml,20ml,5gm,70mm,28mm,,,,,,,,,,
19mm / 20ml Lilac,ASB012,Bottles,,,,,,19mm,,20ml,27ml,5gm,70mm,26mm,,,,,,,,,,
19mm / 20ml Tulip,ASB013,Bottles,,,,,,19mm,,20ml,28ml,5gm,80mm,28mm,,,,,,,,,,
19mm / 30ml Square,ASB014,Bottles,,,,,,19mm,,30ml,36ml,5gm,66mm,28mm,,,,,,,,,,
19mm / 30ml Tulip,ASB015,Bottles,,,,,,19mm,,30ml,36ml,5gm,79mm,28mm,,,,,,,,,,
19mm / 35ml Tulip,ASB016,Bottles,,,,,,19mm,,35ml,39ml,7gm,80mm,28mm,,,,,,,,,,
19mm / 50ml Aster,ASB017,Bottles,,,,,,19mm,,50ml,59ml,9gm,108mm,38mm X 25mm,,,,,,,,,,
19mm / 50ml Flat,ASB018,Bottles,,,,,,19mm,,50ml,57ml,9gm,91mm,38mm X 27mm,,,,,,,,,,
19mm / 50ml Jasmine,ASB019,Bottles,,,,,,19mm,,50ml,55ml,9gm,97mm,34mm X 29mm,,,,,,,,,,
19mm / 50ml Lotion,ASB020,Bottles,,,,,,19mm,,50ml,62ml,9gm,94mm,33mm,,,,,,,,,,
19mm / 50ml Round,ASB021,Bottles,,,,,,19mm,,50ml,58ml,9gm,97mm,33mm,,,,,,,,,,
19mm / 50ml Square,ASB022,Bottles,,,,,,19mm,,50ml,69ml,9gm,82mm,32mm,,,,,,,,,,
19mm / 50ml Tulip,ASB023,Bottles,,,,,,19mm,,50ml,62ml,9gm,98mm,38mm X 27mm,,,,,,,,,,
22mm / 10ml Pharma,ASB024,Bottles,,,,,,22mm,,10ml,17ml,5gm,48mm,26mm,,,,,,,,,,
22mm / 20ml Pharma,ASB026,Bottles,,,,,,22mm,,20ml,25ml,5gm,57mm,28mm,,,,,,,,,,
22mm / 25ml Pharma,ASB027,Bottles,,,,,,22mm,,25ml,31ml,5gm,62mm,30mm,,,,,,,,,,
24mm / 150ml Ravelcare (25gm),ASB028,Bottles,,,,,,24mm,,150ml,159ml,26gm,123mm,47mm,,,,,,,,,,
24mm / 200ml Round,ASB029,Bottles,,,,,,24mm,,200ml,225ml,22gm,149mm,49mm,,,,,,,,,,
24mm / 200ml Square,ASB030,Bottles,,,,,,24mm,,200ml,205ml,22gm,140mm,44mm,,,,,,,,,,
24mm / 200ml Tulip,ASB031,Bottles,,,,,,24mm,,200ml,215ml,22gm,143mm,49mm,,,,,,,,,,
